"Tiny_CompressImages::TinyPNG","TinyPNG"
"Tiny_CompressImages::Version &amp; Support","Version &amp; Support"
"Tiny_CompressImages::Enable TinyPNG","Enable TinyPNG"
"Tiny_CompressImages::Logging disabled","Logging disabled"
"Tiny_CompressImages::Exceptions only","Exceptions only"
"Tiny_CompressImages::Errors and Exceptions","Errors and Exceptions"
"Tiny_CompressImages::All logging information","All logging information"
"Tiny_CompressImages::A long time ago","A long time ago"
"Tiny_CompressImages::%s month ago","%s month ago"
"Tiny_CompressImages::%s months ago","%s months ago"
"Tiny_CompressImages::%s year ago","%s year ago"
"Tiny_CompressImages::%s years ago","%s years ago"
"Tiny_CompressImages::%s day ago","%s days ago"
"Tiny_CompressImages::%s week ago","%s weeks ago"
"Tiny_CompressImages::%s hour ago","%s hours ago"
"Tiny_CompressImages::%s minute ago","%s minutes ago"
"Tiny_CompressImages::%s second ago","%s seconds ago"
"Tiny_CompressImages::...and %d more images","...and %d more images"
"Tiny_CompressImages::There are no saved compressions available yet.","There are no saved compressions available yet."
"Tiny_CompressImages::Warning: Flushing the image cache will cause the TinyPNG module to recompress all images. When having a big catalog this can lead to high costs.\n\nAre you sure you want to continue?","Warning: Flushing the image cache will cause the TinyPNG module to recompress all images. When having a big catalog this can lead to high costs.\n\nAre you sure you want to continue?"
"Tiny_CompressImages::TIG Tinypng %s","TIG Tinypng %s"
"Tiny_CompressImages::Information about the TinyPNG extension","Information about the TinyPNG extension"
"Tiny_CompressImages::Magento & 3rd party version compatibility","Magento & 3rd party version compatibility"
"Tiny_CompressImages::Magento Community Edition version","Magento Community Edition version"
"Tiny_CompressImages::Magento Enterprise Edition version","Magento Enterprise Edition version"
"Tiny_CompressImages::Support","Support"
"Tiny_CompressImages::The extension is developed by TIG.","The extension is developed by TIG."
"Tiny_CompressImages::Website:","Website:"
"Tiny_CompressImages::Support website:","Support website:"
"Tiny_CompressImages::Extension support and configuration questions","Extension support and configuration questions"
"Tiny_CompressImages::For questions about installing and configuring the extension please consult the relevant documentation:","For questions about installing and configuring the extension please consult the relevant documentation:"
"Tiny_CompressImages::Frequently asked questions","Frequently asked questions"
"Tiny_CompressImages::FAQ","FAQ"
"Tiny_CompressImages::Installation Manual","Installation Manual"
"Tiny_CompressImages::Do you have any additional questions?","Do you have any additional questions?"
"Tiny_CompressImages::Please contact the TIG servicedesk for additional questions.","Please contact the TIG servicedesk for additional questions."
"Tiny_CompressImages::Ask your question","Ask your question"
"Tiny_CompressImages::TIG.nl","TIG.nl"
"Tiny_CompressImages::TIG Knowledgebase","TIG Knowledgebase"
"Tiny_CompressImages::Operational","Operational"
"Tiny_CompressImages::Non-operational","Non-operational"
"Tiny_CompressImages::Click the button to check the API status.","Click the button to check the API status."
"Tiny_CompressImages::Check status","Check status"
"Tiny_CompressImages::TinyPNG API Status","TinyPNG API Status"
"Tiny_CompressImages::We saved %s%% this month! The greatest image compression was %s%%.","We saved %s%% this month! The greatest image compression was %s%%."
"Tiny_CompressImages::There are %s compressions done this month.","There are %s compressions done this month."
"Tiny_CompressImages::TinyPNG Settings","TinyPNG Settings"
"Tiny_CompressImages::On","On"
"Tiny_CompressImages::Off","Off"
"Tiny_CompressImages::Test","Test"
"Tiny_CompressImages::Live","Live"
"Tiny_CompressImages::If this is set to Off, TinyPNG will no longer compress images","If this is set to Off, TinyPNG will no longer compress images"
"Tiny_CompressImages::If test mode is activated, the extension will do real compressions. The result won't be saved.","If test mode is activated, the extension will do real compressions. The result won't be saved."
"Tiny_CompressImages::API Key","API Key"
"Tiny_CompressImages::You can fetch the API Key from the <a href=""https://tinypng.com/developers/subscription"" target=""_BLANK"">TinyPNG website</a>.","You can fetch the API Key from the <a href=""https://tinypng.com/developers/subscription"" target=""_BLANK"">TinyPNG website</a>."
"Tiny_CompressImages::Product images to be compressed","Product images to be compressed"
"Tiny_CompressImages::Messages that should be logged","Messages that should be logged"
"Tiny_CompressImages::TinyPNG Status","TinyPNG Status"
"Tiny_CompressImages::Status","Status"
"Tiny_CompressImages::Saved","Saved"
"Tiny_CompressImages::The Api Key is invalid","The Api Key is invalid"
"Tiny_CompressImages::Category images","Category images"
"Tiny_CompressImages::Block images","Block images"
"Tiny_CompressImages::CMS page images","CMS page images"
"Tiny_CompressImages::Thumbnail","Thumbnail"
"Tiny_CompressImages::Small Image","Small Image"
"Tiny_CompressImages::Base Image","Base Image"
"Tiny_CompressImages::Media Image","Media Image"
"Tiny_CompressImages::File","File"
"Tiny_CompressImages::File size","File size"
"Tiny_CompressImages::Bytes Saved","Bytes Saved"
"Tiny_CompressImages::Percentage saved","Percentage saved"
"Tiny_CompressImages::Time","Time"
"Tiny_CompressImages::Show more","Show more"
"Tiny_CompressImages::Show less","Show less"
"Tiny_CompressImages::Saved %s%% over a total of %s compressions", "Saved %s%% over a total of %s compressions"
"Tiny_CompressImages::When set to all, the log file can become huge. Recommended setting for production servers is Errors and Exceptions.","When set to all, the log file can become huge. Recommended setting for production servers is Errors and Exceptions."
"Tiny_CompressImages::Account type","Account type"
"Tiny_CompressImages::TinyPNG Log","TinyPNG Log"
"Tiny_CompressImages::Note: When flushing the image cache, the TinyPNG extension will re-optimize all product images that are shown on the store view(s).","Note: When flushing the image cache, the TinyPNG extension will re-optimize all product images that are shown on the store view(s)."
"Tiny_CompressImages::File","File"
"Tiny_CompressImages::Original","Original"
"Tiny_CompressImages::Now","Now"
"Tiny_CompressImages::Saved","Saved"
