"TIG_TinyPNG::Enable TinyPNG","Activeer TinyPNG"
"TIG_TinyPNG::Warning: Flushing the image cache will cause the TinyPNG module to recompress all images. When having a big catalog this can lead to high costs.\n\nAre you sure you want to continue?","Let op: Het flushen van de afbeeldingen cache heeft als gevolg dat de TinyPNG module alle afbeeldingen opnieuw gaat comprimeren. Bij een grote catalogus kan dit leiden tot hoge kosten.\n\nWeet je zeker dat je wilt doorgaan?"
"TIG Tinypng %s","TIG Tinypng %s"
"Information about the TinyPNG extension","Informatie over de TinyPNG extensie"
"Magento & 3rd party version compatibility","Magento 1 & 3rd party versie compatibiliteit"
"Magento Community Edition version","Magento Community Editie versie"
"Magento Enterprise Edition version","Magento Enterprise Editie versie"
"Support","Ondersteuning"
"The extension is developed by TIG.","Deze extensie is ontwikkeld door TIG."
"Website:","Website:"
"Support website:","Kennisbank:"
"Extension support and configuration questions","Extensie ondersteuning en configuratie vragen"
"For questions about installing and configuring the extension please consult the relevant documentation:","Heeft u vragen over de installatie of configuratie? Raadpleeg dan eerst de relevante documentatie:"
"Frequently asked questions","Veelgestelde vragen"
"FAQ","Veelgestelde vragen"
"Installation Manual","Installatiehandleiding"
"Do you have any additional questions?","Heeft u aanvullende vragen?"
"Please contact the TIG servicedesk for additional questions.","Voor aanvullende vragen kunt u terecht bij de TIG Servicedesk."
"Ask your question","Stel uw vraag"
"TIG.nl","TIG.nl"
"TIG Knowledgebase","TIG Kennisbank"
"TIG_TinyPNG::Enable TinyPNG","Activeer TinyPNG"
"Operational. Last status check was performed at %s","Operationeel. Laatste status controle was op %s uitgevoerd."
"Nonoperational. Last status check was performed at %s.","Niet operationeel. Laatste status controle was op %s uitgevoerd."
"Click the button to check the API status.","Klik op de knop om de API status te controleren."
"Check status","Controleer API status"
"TinyPNG API Status","TinyPNG API Status"
