"TIG Tinypng %s","TIG Tinypng %s"
"Information about the TinyPNG extension","Informatie over de TinyPNG extensie"
"Magento & 3rd party version compatibility","Magento 1 & 3rd party versie compabiliteit"
"Magento Community Edition version","Magento Community Editie versie"
"Magento Enterprise Edition version","Magento Enterprise Editie versie"
"Support","Ondersteuning"
"The extension is developed by TIG.","Deze extensie is ontwikkeld door TIG."
"Website:","Website:"
"Support website:","Ondersteunende website:"
"Extension support and configuration questions",
"For questions about installing and configuring the extension please consult the relevant documentation:","Heeft u vragen over de installatie of configuratie? Raadpleeg dan eerst de relevante documentatie:"
"Frequently asked questions","Veelgestelde vragen"
"FAQ","Veelgestelde vragen"
"Installation Manual","Installatiehandleiding"
"Do you have any additional questions?","Heeft u aanvullende vragen?"
"Please contact the TIG servicedesk for additional questions.","Voor aanvullende vragen kunt u terecht bij de TIG Servicedesk."
"Ask your question","Stel uw vraag"
"TIG.nl","TIG.nl"
"TIG Knowledgebase","TIG Kennisbank"
